"","ROWS","POINTS"
"273","1822","514"
"274","2125","475"
"275","4743","511"
"276","5202","593"
"277","7426","946"
"278","8084","531"
"279","8519","751"
"280","8937","497"
"281","9588","750"
"282","10384","628"
"283","10432","630"
"284","11674","3000"
"285","14245","493"
"286","Name of Test","testresults_lymphocytes"
"287","Mean of Column","NaN"
"288","Confidence Interval","NA, NaN"
"289","Non-Numerical Data",""
"290","Name of Test","testresults_monocytes"
"291","Mean of Column","NaN"
"292","Confidence Interval","NA, NaN"
"293","Non-Numerical Data",""
"294","Name of Test","testresults_granulocytes"
"295","Mean of Column","NaN"
"296","Confidence Interval","NA, NaN"
"297","Non-Numerical Data",""
"298","Name of Test","testresults_eosinophils"
"299","Mean of Column","NaN"
"300","Confidence Interval","NA, NaN"
"301","Non-Numerical Data",""
"302","Name of Test","testresults_basophils"
"303","Mean of Column","NaN"
"304","Confidence Interval","NA, NaN"
"305","Non-Numerical Data",""
"306","Name of Test","testresults_absolute_neutrophils"
"307","Mean of Column","3719.10357365685"
"308","Confidence Interval","8567.56102104095, -1129.35387372725"
"309","604","12527"
"310","662","8757"
"311","1006","9944"
"312","1618","10087"
"313","2132","8970"
"314","2470","10336"
"315","2992","11273"
"316","4181","9120"
"317","4327","9348"
"318","4461","9359"
"319","5311","11613"
"320","5437","9256"
"321","6426","9341"
"322","6555","9302"
"323","8012","9814"
"324","8034","9097"
"325","8300","9275"
"326","8581","10118"
"327","9071","9069"
"328","9382","8631"
"329","9443","10899"
"330","9546","9327"
"331","9828","9048"
"332","10475","9184"
"333","12340","11024"
"334","12363","9438"
"335","12412","8628"
"336","13235","8926"
"337","13714","14153"
"338","14659","9156"
"339","14790","9475"
"340","15300","9232"
"341","Name of Test","testresults_absolute_monocytes"
"342","Mean of Column","347.60115802075"
"343","Confidence Interval","1011.20646410625, -316.004148064751"
"344","313","1200"
"345","662","1134"
"346","2132","1231"
"347","3056","1079"
"348","3828","1517"
"349","4851","1547"
"350","5241","1035"
"351","6040","1039"
"352","6872","1015"
"353","8223","1184"
"354","9467","1057"
"355","14017","1250"
"356","Name of Test","testresults_absolute_granulocytes"
"357","Mean of Column","4.97873843234323"
"358","Confidence Interval","18.8984776533081, -8.9410007886216"
"359","740","65.3"
"360","4549","66"
"361","14523","52.1"
"362","Name of Test","testresults_absolute_lymphocytes"
"363","Mean of Column","1511.84237457583"
"364","Confidence Interval","4435.66345960424, -1411.97871045258"
"365","726","6156"
"366","1648","4876"
"367","4181","4590"
"368","4851","5712"
"369","4936","5202"
"370","5003","5390"
"371","5428","4929"
"372","5722","4998"
"373","7015","5668"
"374","8407","4675"
"375","8689","4692"
"376","10340","5275"
"377","12257","4484"
"378","12525","5452"
"379","12631","5394"
"380","13917","5980"
"381","14017","5275"
"382","14557","5322"
"383","14601","4500"
"384","14962","4700"
"385","Name of Test","testresults_absolute_eosinophils"
"386","Mean of Column","130.755894642323"
"387","Confidence Interval","578.588657701024, -317.076868416379"
"388","232","611"
"389","408","922"
"390","533","1281"
"391","626","996"
"392","633","674"
"393","640","909"
"394","770","646"
"395","792","714"
"396","901","681"
"397","904","632"
"398","921","724"
"399","1090","605"
"400","1331","964"
"401","1881","756"
"402","2166","647"
"403","2308","691"
"404","3334","827"
"405","3636","667"
"406","3671","682"
"407","4508","2098"
"408","5050","836"
"409","6066","947"
"410","6370","713"
"411","6839","653"
"412","6951","626"
"413","7066","708"
"414","7235","741"
"415","7613","856"
"416","8115","632"
"417","8652","798"
"418","8667","3181"
"419","8873","1122"
"420","9276","652"
"421","9601","902"
"422","9765","851"
"423","10278","611"
"424","10938","599"
"425","10992","686"
"426","11076","655"
"427","11118","888"
"428","11632","698"
"429","12463","892"
"430","12536","707"
"431","12634","605"
"432","13881","764"
"433","14563","614"
"434","Name of Test","testresults_absolute_basophils"
"435","Mean of Column","26.8329218543046"
"436","Confidence Interval","76.6820528730724, -23.0162091644631"
"437","660","109"
"438","2674","78"
"439","3261","96"
"440","3365","94"
"441","3448","83"
"442","3577","92"
"443","4292","99"
"444","4327","85"
"445","4364","80"
"446","4615","83"
"447","5272","131"
"448","5856","85"
"449","5998","83"
"450","6202","99"
"451","6381","85"
"452","6992","104"
"453","7122","84"
"454","7489","77"
"455","8352","85"
"456","8652","81"
"457","9765","89"
"458","10246","83"
"459","11042","84"
"460","12228","90"
"461","12263","77"
"462","13885","87"
"463","14229","221"
"464","14567","106"
"465","14999","83"
"466","15121","172"
"467","Name of Test","testresults_absolute_lymphocytes.1"
"468","Mean of Column","1511.84237457583"
"469","Confidence Interval","4435.66345960424, -1411.97871045258"
"470","726","6156"
"471","1648","4876"
"472","4181","4590"
"473","4851","5712"
"474","4936","5202"
"475","5003","5390"
"476","5428","4929"
"477","5722","4998"
"478","7015","5668"
"479","8407","4675"
"480","8689","4692"
"481","10340","5275"
"482","12257","4484"
"483","12525","5452"
"484","12631","5394"
"485","13917","5980"
"486","14017","5275"
"487","14557","5322"
"488","14601","4500"
"489","14962","4700"
"490","Name of Test","testresults_absolute_neutrophils.1"
"491","Mean of Column","3719.10357365685"
"492","Confidence Interval","8567.56102104095, -1129.35387372725"
"493","604","12527"
"494","662","8757"
"495","1006","9944"
"496","1618","10087"
"497","2132","8970"
"498","2470","10336"
"499","2992","11273"
"500","4181","9120"
"501","4327","9348"
"502","4461","9359"
"503","5311","11613"
"504","5437","9256"
"505","6426","9341"
"506","6555","9302"
"507","8012","9814"
"508","8034","9097"
"509","8300","9275"
"510","8581","10118"
"511","9071","9069"
"512","9382","8631"
"513","9443","10899"
"514","9546","9327"
"515","9828","9048"
"516","10475","9184"
"517","12340","11024"
"518","12363","9438"
"519","12412","8628"
"520","13235","8926"
"521","13714","14153"
"522","14659","9156"
"523","14790","9475"
"524","15300","9232"
"525","Name of Test","testresults_absolute_monocytes.1"
"526","Mean of Column","347.60115802075"
"527","Confidence Interval","1011.20646410625, -316.004148064751"
"528","313","1200"
"529","662","1134"
"530","2132","1231"
"531","3056","1079"
"532","3828","1517"
"533","4851","1547"
"534","5241","1035"
"535","6040","1039"
"536","6872","1015"
"537","8223","1184"
"538","9467","1057"
"539","14017","1250"
"540","Name of Test","testresults_absolute_eosinophils.1"
"541","Mean of Column","130.755894642323"
"542","Confidence Interval","578.588657701024, -317.076868416379"
"543","232","611"
"544","408","922"
"545","533","1281"
"546","626","996"
"547","633","674"
"548","640","909"
"549","770","646"
"550","792","714"
"551","901","681"
"552","904","632"
"553","921","724"
"554","1090","605"
"555","1331","964"
"556","1881","756"
"557","2166","647"
"558","2308","691"
"559","3334","827"
"560","3636","667"
"561","3671","682"
"562","4508","2098"
"563","5050","836"
"564","6066","947"
"565","6370","713"
"566","6839","653"
"567","6951","626"
"568","7066","708"
"569","7235","741"
"570","7613","856"
"571","8115","632"
"572","8652","798"
"573","8667","3181"
"574","8873","1122"
"575","9276","652"
"576","9601","902"
"577","9765","851"
"578","10278","611"
"579","10938","599"
"580","10992","686"
"581","11076","655"
"582","11118","888"
"583","11632","698"
"584","12463","892"
"585","12536","707"
"586","12634","605"
"587","13881","764"
"588","14563","614"
"589","Name of Test","testresults_absolute_basophils.1"
"590","Mean of Column","26.8329218543046"
"591","Confidence Interval","76.6820528730724, -23.0162091644631"
"592","660","109"
"593","2674","78"
"594","3261","96"
"595","3365","94"
"596","3448","83"
"597","3577","92"
"598","4292","99"
"599","4327","85"
"600","4364","80"
"601","4615","83"
"602","5272","131"
"603","5856","85"
"604","5998","83"
"605","6202","99"
"606","6381","85"
"607","6992","104"
"608","7122","84"
"609","7489","77"
"610","8352","85"
"611","8652","81"
"612","9765","89"
"613","10246","83"
"614","11042","84"
"615","12228","90"
"616","12263","77"
"617","13885","87"
"618","14229","221"
"619","14567","106"
"620","14999","83"
"621","15121","172"
